"Day","Cash On Hand"
11,147589
12,421096
13,196528
14,296884
15,141355
16,628976
17,571318
18,707519
19,432093
20,551441
21,586763
22,1131080
23,944921
24,262612
25,160934
26,494803
27,88071
28,449888
29,760668
30,1031406
31,708173
32,526570
33,2399115
34,1466942
35,3337951
36,3149649
37,1899305
38,2563725
39,3479396
40,4098137
41,4791580
42,4766556
43,4050500
44,7965556
45,9397221
46,7963793
47,8756095
48,9859049
49,10567615
50,11390282
51,11978289
52,14036224
53,15684510
54,16953325
55,16855287
56,16759879
57,17699509
58,18648488
59,19417118
60,19094732
61,20860848
62,21544443
63,21099791
64,22678387
65,26589497
66,26872818
67,26679301
68,28879357
69,30010601
70,33140384
71,34762595
72,35979751
73,36432321
74,37166224
75,36691643
76,36800555
77,37880640
78,38629859
79,38922654
80,38683324
81,39317251
82,39504377
83,39046316
84,44050495
85,48149731
86,47934631
87,49056572
88,47250309
89,50532502
90,51746811
