"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,1720535,-343544,1417946,-1757380
12,3301165,1188548,1505069,-314466
13,3696765,1420930,1590237,-167252
14,4144336,1372757,1742452,-367640
15,4695766,1655494,1828111,-170562
16,5246726,1984038,1921450,64643
17,5880150,2378853,2017532,362348
18,6488348,2696483,2129529,567981
19,7154770,3119129,2229811,891630
20,7689880,3479477,2315093,1166696
21,9258420,4875740,2472061,2403679
22,9859029,5301836,2558353,2743483
23,10443393,5716678,2640676,3076002
24,10997260,6084689,2758852,3327892
25,11579377,6491727,2847647,3645107
26,12001336,6256819,2965737,3292109
27,12951712,7046142,3132845,3913297
28,14385632,7744890,3284788,4460102
29,14963863,8143948,3386750,4757198
30,15436215,8334293,3618364,4715929
31,15938373,8425759,3849355,4576404
32,16502358,8810039,3940315,4871779
33,19727005,11020158,4072417,6947741
34,21883929,12094123,4176586,7917537
35,26011164,14995357,4298962,10696395
36,26521411,14988420,4451391,10537029
37,27161960,15411128,4607246,10803882
38,28290422,16320750,4722868,11597882
39,29776735,17582578,4950502,12632076
40,30457755,18042449,5042781,12999668
41,31215439,18589149,5137022,13452127
42,31940912,19081731,5245463,13836268
43,32780459,19374682,5371502,14003180
44,36839412,22410783,5545399,16865384
45,39583995,23720001,5642557,18077444
46,40403500,24245070,5796820,18448250
47,41266865,24832847,5897883,18934964
48,42539960,25843900,6098024,19745876
49,43772160,26142478,6332458,19810020
50,44666305,26787898,6428436,20359462
51,45452755,26773891,6656879,20117012
52,48088659,27345556,7054848,20290708
53,50191585,28881021,7201988,21679033
54,51526670,29809353,7298258,22511095
55,53107318,30652172,7647194,23004978
56,54037547,30816365,7889831,22926534
57,55060890,31498646,8003544,23495102
58,56167166,32347780,8190841,24156939
59,57161625,31973112,8446670,23526442
60,57938691,31522227,9576122,21946105
61,60967650,34091901,9847925,24243976
62,61788634,34711611,10015314,24696297
63,62804897,34434763,10499993,23934770
64,64930936,36317052,11062436,25254616
65,70292592,40624114,11218420,29405694
66,71223846,41237529,11319653,29917876
67,72117624,41896224,11409948,30486276
68,75677741,45197341,11794475,33402866
69,76877414,46145707,11862904,34282803
70,80374995,48853632,11965702,36917930
71,82064705,50038805,12038201,38030604
72,85538645,52344187,12352581,40021606
73,86573559,52907002,12939925,39997077
74,88244446,53542144,13127017,40445127
75,89303863,53765482,13394021,40401461
76,90467710,54667365,13507156,41190209
77,92152243,56078688,13587292,42521396
78,93317646,56688583,13665476,43053107
79,94449856,57518991,13746635,43802356
80,95909950,58682185,13862699,44849486
81,97038848,59544723,13944030,45630693
82,98206787,60447912,14026215,46451697
83,99418112,61264615,14641765,46652850
84,104959407,64921020,14735281,50215739
85,110256654,69110376,14815934,54324442
86,113163167,70682632,16490903,54221729
87,115653476,72925300,16575619,56379681
88,116823140,72603592,19420246,53213346
89,120264906,75738169,19524569,56243600
90,121572620,76811220,19627974,57213246
