"Day","Cash On Hand"
11,2783644
12,3928663
13,3457589
14,4453549
15,3539478
16,3704612
17,3980221
18,3709643
19,5195569
20,5260470
21,5183810
22,4523777
23,4232197
24,4890114
25,4565778
26,5577704
27,4336216
28,2228960
29,2545813
30,2454881
31,4310507
32,3261583
33,3144191
34,3352164
35,4354309
36,4687688
37,6255551
38,7657746
39,8909478
40,8454579
41,7390377
42,7463406
43,6822989
44,7312617
45,8345824
46,9351194
47,10479213
48,13319151
49,13913517
50,12873746
51,13917014
52,13238515
53,12279101
54,13702684
55,16659656
56,17052428
57,17895903
58,22227633
59,19800685
60,21486410
61,20682553
62,20556355
63,20098783
64,21642905
65,20020033
66,20008734
67,20897657
68,20442592
69,20470164
70,20539558
71,19085031
72,18324102
73,19478342
74,18787395
75,17117283
76,16778176
77,17659135
78,19801460
79,21184359
80,23017047
81,23743883
82,26805789
83,27891461
84,27451517
85,29696930
86,30205842
87,30649011
88,31127141
89,32229930
90,33030770
