"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Cash Payment - Staff Recruiting","-15000"
"90","Wholesales (B2B)","Revenue - B2B SO ID: 13609","386100"
"90","Wholesales (B2B)","Revenue - B2B SO ID: 13610","366930"
"90","Human Resource Expense","Staff Dismiss","-87000"
"90","Human Resource Expense","Staff Dismiss","-87000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"90","Marketing Expense","Cash Payment - Marketing - Hong Kong","-10000"
"90","Marketing Expense","Cash Payment - Marketing - Kowloon","-10000"
"90","Marketing Expense","Cash Payment - Marketing - Victoria","-1000"
"90","Salary Expense","Cash Payment - Salary Expense","-830"
"90","Salary Expense","Cash Payment - Salary Expense","-2064"
"90","Salary Expense","Cash Payment - Salary Expense","-1953"
"90","Salary Expense","Cash Payment - Salary Expense","-1872"
"90","Salary Expense","Cash Payment - Salary Expense","-1850"
"90","Salary Expense","Cash Payment - Salary Expense","-1700"
"90","Salary Expense","Cash Payment - Salary Expense","-1472"
"90","Salary Expense","Cash Payment - Salary Expense","-29328"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 276","-15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 333","-15000"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 361","-15000"
"90","Retail","Revenue - Retail Sales Hong Kong - Paper Set","13698"
"90","Retail","Revenue - Retail Sales Hong Kong - Bamboo Set","152751"
"90","Retail","Revenue - Retail Sales Hong Kong - Recycled Set","79464"
"90","Retail","Revenue - Retail Sales Kowloon - Paper Set","51336"
"90","Retail","Revenue - Retail Sales Kowloon - Bamboo Set","4914"
"90","Retail","Revenue - Retail Sales Kowloon - Recycled Set","28110"
"90","Retail","Revenue - Retail Sales Victoria - Paper Set","3140"
"90","Retail","Revenue - Retail Sales Victoria - Bamboo Set","7590"
"90","Retail","Revenue - Retail Sales Victoria - Recycled Set","14818"
"90","Retail","Revenue - Retail Sales Tseung Kwan O - Paper Set","4536"
"90","Retail","Revenue - Retail Sales Tseung Kwan O - Bamboo Set","20242"
"90","Retail","Revenue - Retail Sales Tseung Kwan O - Recycled Set","14880"
"90","Rental Expense","Cash Payment - Rental - Hong Kong","-5040"
"90","Rental Expense","Cash Payment - Rental - Tung Chung","-1600"
"90","Rental Expense","Cash Payment - Rental - Kowloon","-6640"
"90","Rental Expense","Cash Payment - Rental - Victoria","-5680"
"90","Rental Expense","Cash Payment - Rental - Tsuen Wan","-2400"
"90","Rental Expense","Cash Payment - Rental - Tuen Mun","-4800"
"90","Rental Expense","Cash Payment - Rental - Tseung Kwan O","-5440"
"89","Wholesales (B2B)","Revenue - B2B SO ID: 13164","669200"
"89","Human Resource Expense","Staff Dismiss","-35000"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"89","Marketing Expense","Cash Payment - Marketing - Hong Kong","-10000"
"89","Marketing Expense","Cash Payment - Marketing - Kowloon","-10000"
"89","Marketing Expense","Cash Payment - Marketing - Victoria","-1000"
"89","Salary Expense","Cash Payment - Salary Expense","-1862"
"89","Salary Expense","Cash Payment - Salary Expense","-2064"
"89","Salary Expense","Cash Payment - Salary Expense","-1953"
"89","Salary Expense","Cash Payment - Salary Expense","-1872"
"89","Salary Expense","Cash Payment - Salary Expense","-1850"
"89","Salary Expense","Cash Payment - Salary Expense","-1620"
"89","Salary Expense","Cash Payment - Salary Expense","-1472"
"89","Salary Expense","Cash Payment - Salary Expense","-28914"
"89","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 13609","-9592"
"89","Shipping Expense","Cash Payment - Shipping Expense - B2B SO : 13610","-9592"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 336","-15000"
"89","Retail","Revenue - Retail Sales Hong Kong - Paper Set","31962"
"89","Retail","Revenue - Retail Sales Hong Kong - Bamboo Set","284145"
"89","Retail","Revenue - Retail Sales Hong Kong - Recycled Set","150388"
"89","Retail","Revenue - Retail Sales Kowloon - Paper Set","50472"
"89","Retail","Revenue - Retail Sales Kowloon - Bamboo Set","4966"
"89","Retail","Revenue - Retail Sales Kowloon - Recycled Set","27540"
"89","Retail","Revenue - Retail Sales Victoria - Paper Set","3280"
"89","Retail","Revenue - Retail Sales Victoria - Bamboo Set","7744"
"89","Retail","Revenue - Retail Sales Victoria - Recycled Set","15562"
"89","Retail","Revenue - Retail Sales Tseung Kwan O - Paper Set","4464"
"89","Retail","Revenue - Retail Sales Tseung Kwan O - Bamboo Set","21112"
"89","Retail","Revenue - Retail Sales Tseung Kwan O - Recycled Set","15345"
"89","Rental Expense","Cash Payment - Rental - Hong Kong","-5040"
"89","Rental Expense","Cash Payment - Rental - Tung Chung","-1600"
"89","Rental Expense","Cash Payment - Rental - Kowloon","-6640"
"89","Rental Expense","Cash Payment - Rental - Victoria","-5680"
"89","Rental Expense","Cash Payment - Rental - Tsuen Wan","-2400"
"89","Rental Expense","Cash Payment - Rental - Tuen Mun","-4800"
"89","Rental Expense","Cash Payment - Rental - Tseung Kwan O","-5440"
"88","Human Resource Expense","Counselled","-2000"
"88","Human Resource Expense","Staff Dismiss","-72000"
"88","Marketing Expense","Cash Payment - Marketing - Hong Kong","-10000"
"88","Marketing Expense","Cash Payment - Marketing - Kowloon","-10000"
"88","Marketing Expense","Cash Payment - Marketing - Victoria","-1000"
"88","Salary Expense","Cash Payment - Salary Expense","-1843"
"88","Salary Expense","Cash Payment - Salary Expense","-2064"
"88","Salary Expense","Cash Payment - Salary Expense","-1953"
